,,,,,,
,,,,,,
Bozok Umut,Attaquant,Nîmes,"4,7",2,10,37 %
,,,,,,
Fofana Youssouf,Mil. Def.,Strasbourg,"5,3",2,10,26 %
,,,,,,
Dia Boulaye,Mil. Off,Reims,"5,1",3,10,21 %
,,,,,,
Sidibe Kalidou,Mil. Def.,Toulouse,"4,9",1,10,47 %
,,,,,,
Benaglio Diego,Gardien,Monaco,"5,2",0,9,58 %
,,,,,,
Pelé Yohann,Gardien,Marseille,"5,2",0,9,18 %
,,,,,,
Oniangué Prince,Mil. Def.,Caen,"5,1",2,9,68 %
,,,,,,
Sorbon Jérémy,Def. Cen.,Guingamp,"4,8",1,9,76 %
,,,,,,
Imorou Emmanuel,Def. Cen.,Caen,"4,8",0,9,32 %
,,,,,,
Roux Nolan,Attaquant,Guingamp,"4,5",2,9,45 %
,,,,,,
Skuletic Petar,Attaquant,Montpellier,"4,6",1,9,11 %
,,,,,,
Suk Hyun-Jun,Attaquant,Reims,"4,6",3,9,18 %
,,,,,,
Pajot Vincent,Mil. Def.,Angers,"4,7",0,9,26 %
,,,,,,
Kerbrat Christophe,Def. Cen.,Guingamp,"4,4",0,9,66 %
,,,,,,
Sidibe Djibril,Def. Lat.,Monaco,"4,6",0,9,58 %
,,,,,,
Dingome Tristan,Mil. Def.,Reims,5,1,9,45 %
,,,,,,
Marçal,Def. Lat.,Lyon,"5,3",0,9,32 %
,,,,,,
Krafth Emil,Def. Lat.,Amiens,"4,6",1,9,87 %
,,,,,,
Lucas Lima,Def. Lat.,Nantes,"4,8",0,9,74 %
,,,,,,
Baba Abdul Rahman,Def. Lat.,Reims,5,1,9,29 %
,,,,,,
Kwon Chang-Hoon,Mil. Off,Dijon,"4,7",2,9,26 %
,,,,,,
Jemerson,Def. Cen.,Monaco,"5,1",0,9,66 %
,,,,,,
Sabaly Youssouf,Def. Lat.,Bordeaux,"4,9",0,9,55 %
,,,,,,
Tete Kenny,Def. Lat.,Lyon,5,0,9,32 %
,,,,,,
Karamoh Yann,Attaquant,Bordeaux,"4,8",3,9,34 %
,,,,,,
Leya Iseka Aaron,Attaquant,Toulouse,"4,4",4,9,39 %
,,,,,,
Valls Theo,Mil. Def.,Nîmes,5,0,9,53 %
,,,,,,
